Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,Attend.,Arena,Notes
Tue Nov 22 2022,10:00p,Los Angeles Lakers,105,Phoenix Suns,115,,17071,Footprint Center,
Wed Nov 23 2022,7:00p,Philadelphia 76ers,101,Charlotte Hornets,107,,16910,Spectrum Center,
Wed Nov 23 2022,7:00p,Portland Trail Blazers,96,Cleveland Cavaliers,114,,19432,Rocket Mortgage Fieldhouse,
Wed Nov 23 2022,7:00p,Minnesota Timberwolves,115,Indiana Pacers,101,,15751,Gainbridge Fieldhouse,
Wed Nov 23 2022,7:30p,Sacramento Kings,106,Atlanta Hawks,115,,18173,State Farm Arena,
Wed Nov 23 2022,7:30p,Dallas Mavericks,112,Boston Celtics,125,,19156,TD Garden,
Wed Nov 23 2022,7:30p,Washington Wizards,105,Miami Heat,113,,19600,FTX Arena,
Wed Nov 23 2022,7:30p,Brooklyn Nets,112,Toronto Raptors,98,,19800,Scotiabank Arena,
Wed Nov 23 2022,8:00p,Chicago Bulls,118,Milwaukee Bucks,113,,17341,Fiserv Forum,
Wed Nov 23 2022,8:00p,Denver Nuggets,131,Oklahoma City Thunder,126,OT,13656,Paycom Center,
Wed Nov 23 2022,8:00p,New Orleans Pelicans,129,San Antonio Spurs,110,,14947,AT&T Center,
Wed Nov 23 2022,9:00p,Detroit Pistons,125,Utah Jazz,116,,18206,Vivint Arena,
Wed Nov 23 2022,10:00p,Los Angeles Clippers,107,Golden State Warriors,124,,18064,Chase Center,
Fri Nov 25 2022,5:00p,Minnesota Timberwolves,108,Charlotte Hornets,110,,17924,Spectrum Center,
Fri Nov 25 2022,7:00p,Philadelphia 76ers,107,Orlando Magic,99,,15384,Amway Center,
Fri Nov 25 2022,7:30p,Portland Trail Blazers,132,New York Knicks,129,OT,19812,Madison Square Garden (IV),
Fri Nov 25 2022,8:00p,Sacramento Kings,104,Boston Celtics,122,,19156,TD Garden,
Fri Nov 25 2022,8:00p,Atlanta Hawks,122,Houston Rockets,128,,16669,Toyota Center,
Fri Nov 25 2022,8:00p,Brooklyn Nets,117,Indiana Pacers,128,,15404,Gainbridge Fieldhouse,
Fri Nov 25 2022,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,132,,17794,FedEx Forum,
Fri Nov 25 2022,8:00p,Washington Wizards,107,Miami Heat,110,,19600,FTX Arena,
Fri Nov 25 2022,8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,117,,17447,Fiserv Forum,
Fri Nov 25 2022,8:00p,Chicago Bulls,119,Oklahoma City Thunder,123,OT,16082,Paycom Center,
Fri Nov 25 2022,8:00p,Los Angeles Lakers,105,San Antonio Spurs,94,,18354,AT&T Center,
Fri Nov 25 2022,9:00p,Detroit Pistons,102,Phoenix Suns,108,,17071,Footprint Center,
Fri Nov 25 2022,10:00p,Utah Jazz,118,Golden State Warriors,129,,18064,Chase Center,
Fri Nov 25 2022,10:30p,Denver Nuggets,114,Los Angeles Clippers,104,,16559,Crypto.com Arena,
Sat Nov 26 2022,5:00p,Dallas Mavericks,100,Toronto Raptors,105,,19800,Scotiabank Arena,
Sat Nov 26 2022,8:00p,Oklahoma City Thunder,105,Houston Rockets,118,,15151,Toyota Center,
Sat Nov 26 2022,8:00p,Los Angeles Lakers,143,San Antonio Spurs,138,,18354,AT&T Center,
Sat Nov 26 2022,9:00p,Utah Jazz,112,Phoenix Suns,113,,17071,Footprint Center,
Sun Nov 27 2022,3:00p,Portland Trail Blazers,97,Brooklyn Nets,111,,17732,Barclays Center,
Sun Nov 27 2022,3:30p,Golden State Warriors,137,Minnesota Timberwolves,114,,17136,Target Center,
Sun Nov 27 2022,4:00p,Indiana Pacers,100,Los Angeles Clippers,114,,16805,Crypto.com Arena,
Sun Nov 27 2022,5:00p,Miami Heat,106,Atlanta Hawks,98,,17268,State Farm Arena,
Sun Nov 27 2022,6:00p,Washington Wizards,121,Boston Celtics,130,,19156,TD Garden,
Sun Nov 27 2022,6:00p,Cleveland Cavaliers,102,Detroit Pistons,94,,18240,Little Caesars Arena,
Sun Nov 27 2022,6:00p,Memphis Grizzlies,127,New York Knicks,123,,19524,Madison Square Garden (IV),
Sun Nov 27 2022,6:00p,Philadelphia 76ers,133,Orlando Magic,103,,16218,Amway Center,
Sun Nov 27 2022,8:00p,Dallas Mavericks,115,Milwaukee Bucks,124,,17341,Fiserv Forum,
Mon Nov 28 2022,7:00p,Atlanta Hawks,101,Philadelphia 76ers,104,,19778,Wells Fargo Center,
Mon Nov 28 2022,7:00p,Minnesota Timberwolves,127,Washington Wizards,142,,13515,Capital One Arena,
Mon Nov 28 2022,7:30p,Charlotte Hornets,105,Boston Celtics,140,,19156,TD Garden,
Mon Nov 28 2022,7:30p,Orlando Magic,102,Brooklyn Nets,109,,15704,Barclays Center,
Mon Nov 28 2022,7:30p,Cleveland Cavaliers,88,Toronto Raptors,100,,19800,Scotiabank Arena,
Mon Nov 28 2022,8:00p,Oklahoma City Thunder,101,New Orleans Pelicans,105,,13109,Smoothie King Center,
Mon Nov 28 2022,9:00p,Houston Rockets,113,Denver Nuggets,129,,16027,Ball Arena,
Mon Nov 28 2022,9:00p,Chicago Bulls,114,Utah Jazz,107,,18206,Vivint Arena,
Mon Nov 28 2022,10:00p,Phoenix Suns,122,Sacramento Kings,117,,16407,Golden 1 Center,
Mon Nov 28 2022,10:30p,Indiana Pacers,116,Los Angeles Lakers,115,,16034,Crypto.com Arena,
Tue Nov 29 2022,7:00p,New York Knicks,140,Detroit Pistons,110,,14864,Little Caesars Arena,
Tue Nov 29 2022,7:30p,Golden State Warriors,113,Dallas Mavericks,116,,20277,American Airlines Center,
Tue Nov 29 2022,10:00p,Los Angeles Clippers,118,Portland Trail Blazers,112,,17251,Moda Center,
Wed Nov 30 2022,7:00p,Philadelphia 76ers,85,Cleveland Cavaliers,113,,19432,Rocket Mortgage Fieldhouse,
Wed Nov 30 2022,7:00p,Atlanta Hawks,125,Orlando Magic,108,,15344,Amway Center,
Wed Nov 30 2022,7:30p,Miami Heat,121,Boston Celtics,134,,19156,TD Garden,
Wed Nov 30 2022,7:30p,Washington Wizards,107,Brooklyn Nets,113,,15963,Barclays Center,
Wed Nov 30 2022,7:30p,Milwaukee Bucks,109,New York Knicks,103,,17277,Madison Square Garden (IV),
Wed Nov 30 2022,8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,109,,15980,Target Center,
Wed Nov 30 2022,8:00p,Toronto Raptors,108,New Orleans Pelicans,126,,14845,Smoothie King Center,
Wed Nov 30 2022,8:00p,San Antonio Spurs,111,Oklahoma City Thunder,119,,15605,Paycom Center,
Wed Nov 30 2022,9:00p,Houston Rockets,100,Denver Nuggets,120,,16286,Ball Arena,
Wed Nov 30 2022,9:00p,Chicago Bulls,113,Phoenix Suns,132,,17071,Footprint Center,
Wed Nov 30 2022,9:00p,Los Angeles Clippers,112,Utah Jazz,125,,18206,Vivint Arena,
Wed Nov 30 2022,10:00p,Indiana Pacers,114,Sacramento Kings,137,,17611,Golden 1 Center,
Wed Nov 30 2022,10:30p,Portland Trail Blazers,109,Los Angeles Lakers,128,,18560,Crypto.com Arena,
Thu Dec 1 2022,7:00p,Dallas Mavericks,125,Detroit Pistons,131,OT,18106,Little Caesars Arena,
Fri Dec 2 2022,7:00p,Washington Wizards,116,Charlotte Hornets,117,,15231,Spectrum Center,
Fri Dec 2 2022,7:30p,Denver Nuggets,109,Atlanta Hawks,117,,16974,State Farm Arena,
Fri Dec 2 2022,7:30p,Miami Heat,120,Boston Celtics,116,OT,19156,TD Garden,
Fri Dec 2 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,114,,17732,Barclays Center,
Fri Dec 2 2022,7:30p,Orlando Magic,96,Cleveland Cavaliers,107,,19432,Rocket Mortgage Fieldhouse,
Fri Dec 2 2022,7:30p,Los Angeles Lakers,133,Milwaukee Bucks,129,,17938,Fiserv Forum,
Fri Dec 2 2022,8:00p,Philadelphia 76ers,109,Memphis Grizzlies,117,,17022,FedEx Forum,
Fri Dec 2 2022,8:00p,New Orleans Pelicans,117,San Antonio Spurs,99,,17202,AT&T Center,
Fri Dec 2 2022,9:00p,Houston Rockets,122,Phoenix Suns,121,,17071,Footprint Center,
Fri Dec 2 2022,9:00p,Indiana Pacers,119,Utah Jazz,139,,18206,Vivint Arena,
Fri Dec 2 2022,10:00p,Chicago Bulls,111,Golden State Warriors,119,,18064,Chase Center,
Sat Dec 3 2022,12:30p,Dallas Mavericks,121,New York Knicks,100,,18319,Madison Square Garden (IV),
Sat Dec 3 2022,4:00p,Sacramento Kings,123,Los Angeles Clippers,96,,16587,Crypto.com Arena,
Sat Dec 3 2022,6:00p,Milwaukee Bucks,105,Charlotte Hornets,96,,18128,Spectrum Center,
Sat Dec 3 2022,8:00p,Oklahoma City Thunder,135,Minnesota Timberwolves,128,,17136,Target Center,
Sat Dec 3 2022,8:00p,Orlando Magic,108,Toronto Raptors,121,,19800,Scotiabank Arena,
Sat Dec 3 2022,8:30p,Houston Rockets,101,Golden State Warriors,120,,18064,Chase Center,
Sat Dec 3 2022,9:00p,Portland Trail Blazers,116,Utah Jazz,111,,18206,Vivint Arena,
Sun Dec 4 2022,3:30p,Denver Nuggets,106,New Orleans Pelicans,121,,15658,Smoothie King Center,
Sun Dec 4 2022,4:00p,Phoenix Suns,133,San Antonio Spurs,95,,16409,AT&T Center,
Sun Dec 4 2022,6:00p,Boston Celtics,103,Brooklyn Nets,92,,18043,Barclays Center,
Sun Dec 4 2022,6:00p,Memphis Grizzlies,122,Detroit Pistons,112,,20088,Little Caesars Arena,
Sun Dec 4 2022,6:00p,Cleveland Cavaliers,81,New York Knicks,92,,19007,Madison Square Garden (IV),
Sun Dec 4 2022,6:00p,Chicago Bulls,101,Sacramento Kings,110,,17611,Golden 1 Center,
Sun Dec 4 2022,6:00p,Los Angeles Lakers,130,Washington Wizards,119,,19647,Capital One Arena,
Sun Dec 4 2022,9:00p,Indiana Pacers,100,Portland Trail Blazers,116,,17479,Moda Center,
Mon Dec 5 2022,7:00p,Los Angeles Clippers,119,Charlotte Hornets,117,,13945,Spectrum Center,
Mon Dec 5 2022,7:00p,Milwaukee Bucks,109,Orlando Magic,102,,16174,Amway Center,
Mon Dec 5 2022,7:30p,Oklahoma City Thunder,121,Atlanta Hawks,114,,16301,State Farm Arena,
Mon Dec 5 2022,7:30p,Boston Celtics,116,Toronto Raptors,110,,19800,Scotiabank Arena,
Mon Dec 5 2022,8:00p,Philadelphia 76ers,123,Houston Rockets,132,2OT,15331,Toyota Center,
Mon Dec 5 2022,8:00p,Miami Heat,93,Memphis Grizzlies,101,,16122,FedEx Forum,
Mon Dec 5 2022,8:30p,Phoenix Suns,111,Dallas Mavericks,130,,20227,American Airlines Center,
Mon Dec 5 2022,10:00p,Indiana Pacers,112,Golden State Warriors,104,,18064,Chase Center,
Tue Dec 6 2022,7:30p,Los Angeles Lakers,102,Cleveland Cavaliers,116,,19432,Rocket Mortgage Fieldhouse,
Tue Dec 6 2022,7:30p,Detroit Pistons,116,Miami Heat,96,,19600,FTX Arena,
Tue Dec 6 2022,10:00p,Dallas Mavericks,116,Denver Nuggets,115,,19520,Ball Arena,
Wed Dec 7 2022,7:00p,Los Angeles Clippers,111,Orlando Magic,116,OT,14429,Amway Center,
Wed Dec 7 2022,7:30p,Charlotte Hornets,116,Brooklyn Nets,122,,16903,Barclays Center,
Wed Dec 7 2022,7:30p,Atlanta Hawks,89,New York Knicks,113,,18091,Madison Square Garden (IV),
Wed Dec 7 2022,7:30p,Los Angeles Lakers,113,Toronto Raptors,126,,19800,Scotiabank Arena,
Wed Dec 7 2022,8:00p,Washington Wizards,111,Chicago Bulls,115,,19265,United Center,
Wed Dec 7 2022,8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,123,,15942,FedEx Forum,
Wed Dec 7 2022,8:00p,Sacramento Kings,113,Milwaukee Bucks,126,,17341,Fiserv Forum,
Wed Dec 7 2022,8:00p,Indiana Pacers,115,Minnesota Timberwolves,121,,15472,Target Center,
Wed Dec 7 2022,8:00p,Detroit Pistons,98,New Orleans Pelicans,104,,14073,Smoothie King Center,
Wed Dec 7 2022,9:00p,Golden State Warriors,123,Utah Jazz,124,,18206,Vivint Arena,
Wed Dec 7 2022,10:00p,Boston Celtics,125,Phoenix Suns,98,,17071,Footprint Center,
Thu Dec 8 2022,7:30p,Los Angeles Clippers,110,Miami Heat,115,,19600,FTX Arena,
Thu Dec 8 2022,8:30p,Houston Rockets,109,San Antonio Spurs,118,,13140,AT&T Center,
Thu Dec 8 2022,10:00p,Denver Nuggets,121,Portland Trail Blazers,120,,18189,Moda Center,
Fri Dec 9 2022,7:00p,New York Knicks,121,Charlotte Hornets,102,,17696,Spectrum Center,
Fri Dec 9 2022,7:00p,Washington Wizards,111,Indiana Pacers,121,,15039,Gainbridge Fieldhouse,
Fri Dec 9 2022,7:00p,Toronto Raptors,109,Orlando Magic,113,,17008,Amway Center,
Fri Dec 9 2022,7:30p,Atlanta Hawks,116,Brooklyn Nets,120,,18072,Barclays Center,
Fri Dec 9 2022,7:30p,Sacramento Kings,106,Cleveland Cavaliers,95,,19432,Rocket Mortgage Fieldhouse,
Fri Dec 9 2022,7:30p,Los Angeles Lakers,122,Philadelphia 76ers,133,OT,20852,Wells Fargo Center,
Fri Dec 9 2022,8:00p,Detroit Pistons,103,Memphis Grizzlies,114,,17103,FedEx Forum,
Fri Dec 9 2022,8:30p,Phoenix Suns,117,New Orleans Pelicans,128,,16381,Smoothie King Center,
Fri Dec 9 2022,9:00p,Minnesota Timberwolves,118,Utah Jazz,108,,18206,Vivint Arena,
Fri Dec 9 2022,10:00p,Milwaukee Bucks,106,Dallas Mavericks,105,,20277,American Airlines Center,
Sat Dec 10 2022,5:00p,San Antonio Spurs,115,Miami Heat,111,,19600,FTX Arena,
Sat Dec 10 2022,7:00p,Brooklyn Nets,136,Indiana Pacers,133,,14280,Gainbridge Fieldhouse,
Sat Dec 10 2022,7:00p,Los Angeles Clippers,114,Washington Wizards,107,,18404,Capital One Arena,
Sat Dec 10 2022,7:30p,Oklahoma City Thunder,102,Cleveland Cavaliers,110,,19432,Rocket Mortgage Fieldhouse,
Sat Dec 10 2022,8:00p,Dallas Mavericks,115,Chicago Bulls,144,,19528,United Center,
Sat Dec 10 2022,8:30p,Boston Celtics,107,Golden State Warriors,123,,18064,Chase Center,
Sat Dec 10 2022,9:00p,Utah Jazz,110,Denver Nuggets,115,,19636,Ball Arena,
Sat Dec 10 2022,10:00p,Minnesota Timberwolves,118,Portland Trail Blazers,124,,18324,Moda Center,
Sun Dec 11 2022,3:30p,Phoenix Suns,124,New Orleans Pelicans,129,OT,18681,Smoothie King Center,
Sun Dec 11 2022,6:00p,Los Angeles Lakers,124,Detroit Pistons,117,,20190,Little Caesars Arena,
Sun Dec 11 2022,6:00p,Sacramento Kings,99,New York Knicks,112,,19812,Madison Square Garden (IV),
Sun Dec 11 2022,6:00p,Toronto Raptors,99,Orlando Magic,111,,16891,Amway Center,
Sun Dec 11 2022,6:00p,Charlotte Hornets,113,Philadelphia 76ers,131,,19765,Wells Fargo Center,
Sun Dec 11 2022,6:30p,Chicago Bulls,122,Atlanta Hawks,123,OT,17227,State Farm Arena,
Sun Dec 11 2022,7:00p,Milwaukee Bucks,92,Houston Rockets,97,,16268,Toyota Center,
Mon Dec 12 2022,7:00p,Miami Heat,87,Indiana Pacers,82,,15309,Gainbridge Fieldhouse,
Mon Dec 12 2022,7:00p,Brooklyn Nets,112,Washington Wizards,100,,16090,Capital One Arena,
Mon Dec 12 2022,8:00p,Atlanta Hawks,103,Memphis Grizzlies,128,,16544,FedEx Forum,
Mon Dec 12 2022,8:30p,Oklahoma City Thunder,114,Dallas Mavericks,121,,19877,American Airlines Center,
Mon Dec 12 2022,8:30p,Cleveland Cavaliers,111,San Antonio Spurs,112,,13434,AT&T Center,
Mon Dec 12 2022,10:00p,Minnesota Timberwolves,112,Portland Trail Blazers,133,,18021,Moda Center,
Mon Dec 12 2022,10:30p,Boston Celtics,93,Los Angeles Clippers,113,,19068,Crypto.com Arena,
Tue Dec 13 2022,7:00p,Sacramento Kings,103,Philadelphia 76ers,123,,19768,Wells Fargo Center,
Tue Dec 13 2022,7:30p,Golden State Warriors,111,Milwaukee Bucks,128,,17628,Fiserv Forum,
Tue Dec 13 2022,8:00p,Phoenix Suns,97,Houston Rockets,111,,15128,Toyota Center,
Tue Dec 13 2022,9:00p,New Orleans Pelicans,100,Utah Jazz,121,,18206,Vivint Arena,
Tue Dec 13 2022,10:00p,Boston Celtics,122,Los Angeles Lakers,118,OT,18661,Crypto.com Arena,
Wed Dec 14 2022,7:00p,Detroit Pistons,141,Charlotte Hornets,134,OT,14303,Spectrum Center,
Wed Dec 14 2022,7:00p,Golden State Warriors,119,Indiana Pacers,125,,15069,Gainbridge Fieldhouse,
Wed Dec 14 2022,7:00p,Atlanta Hawks,124,Orlando Magic,135,,16002,Amway Center,
Wed Dec 14 2022,7:30p,New York Knicks,128,Chicago Bulls,120,OT,18820,United Center,
Wed Dec 14 2022,7:30p,Sacramento Kings,124,Toronto Raptors,123,,19800,Scotiabank Arena,
Wed Dec 14 2022,8:00p,Miami Heat,110,Oklahoma City Thunder,108,,14783,Paycom Center,
Wed Dec 14 2022,8:00p,Portland Trail Blazers,128,San Antonio Spurs,112,,13657,AT&T Center,
Wed Dec 14 2022,9:00p,Cleveland Cavaliers,105,Dallas Mavericks,90,,20093,American Airlines Center,
Wed Dec 14 2022,9:00p,Washington Wizards,128,Denver Nuggets,141,,19550,Ball Arena,
Wed Dec 14 2022,10:00p,Minnesota Timberwolves,88,Los Angeles Clippers,99,,14063,Crypto.com Arena,
Thu Dec 15 2022,8:00p,Miami Heat,111,Houston Rockets,108,,16210,Toyota Center,
Thu Dec 15 2022,8:00p,Milwaukee Bucks,101,Memphis Grizzlies,142,,17794,FedEx Forum,
Thu Dec 15 2022,9:00p,New Orleans Pelicans,129,Utah Jazz,132,OT,18206,Vivint Arena,
Thu Dec 15 2022,10:30p,Phoenix Suns,111,Los Angeles Clippers,95,,15778,Crypto.com Arena,
Fri Dec 16 2022,7:00p,Atlanta Hawks,125,Charlotte Hornets,106,,17772,Spectrum Center,
Fri Dec 16 2022,7:00p,Sacramento Kings,122,Detroit Pistons,113,,17892,Little Caesars Arena,
Fri Dec 16 2022,7:30p,Orlando Magic,117,Boston Celtics,109,,19156,TD Garden,
Fri Dec 16 2022,7:30p,Indiana Pacers,112,Cleveland Cavaliers,118,,19432,Rocket Mortgage Fieldhouse,
Fri Dec 16 2022,7:30p,Golden State Warriors,106,Philadelphia 76ers,118,,20567,Wells Fargo Center,
Fri Dec 16 2022,7:30p,Brooklyn Nets,119,Toronto Raptors,116,,19800,Scotiabank Arena,
Fri Dec 16 2022,8:00p,New York Knicks,114,Chicago Bulls,91,,19661,United Center,
Fri Dec 16 2022,8:00p,Minnesota Timberwolves,112,Oklahoma City Thunder,110,,14885,Paycom Center,
Fri Dec 16 2022,8:30p,Portland Trail Blazers,110,Dallas Mavericks,130,,20191,American Airlines Center,
Fri Dec 16 2022,10:00p,Denver Nuggets,108,Los Angeles Lakers,126,,18505,Crypto.com Arena,
Sat Dec 17 2022,4:00p,Washington Wizards,93,Los Angeles Clippers,102,,15018,Crypto.com Arena,
Sat Dec 17 2022,5:00p,Miami Heat,111,San Antonio Spurs,101,,20160,Mexico City Arena,
Sat Dec 17 2022,8:00p,Dallas Mavericks,99,Cleveland Cavaliers,100,OT,19432,Rocket Mortgage Fieldhouse,
Sat Dec 17 2022,8:00p,Portland Trail Blazers,107,Houston Rockets,95,,16217,Toyota Center,
Sat Dec 17 2022,8:00p,Utah Jazz,97,Milwaukee Bucks,123,,17587,Fiserv Forum,
Sat Dec 17 2022,8:00p,Memphis Grizzlies,109,Oklahoma City Thunder,115,,16895,Paycom Center,
Sat Dec 17 2022,9:00p,New Orleans Pelicans,114,Phoenix Suns,118,,17071,Footprint Center,
Sun Dec 18 2022,3:00p,Orlando Magic,95,Boston Celtics,92,,19156,TD Garden,
Sun Dec 18 2022,5:00p,New York Knicks,109,Indiana Pacers,106,,14513,Gainbridge Fieldhouse,
Sun Dec 18 2022,6:00p,Brooklyn Nets,124,Detroit Pistons,121,,19488,Little Caesars Arena,
Sun Dec 18 2022,6:00p,Golden State Warriors,126,Toronto Raptors,110,,19800,Scotiabank Arena,
Sun Dec 18 2022,7:00p,Chicago Bulls,126,Minnesota Timberwolves,150,,16294,Target Center,
Sun Dec 18 2022,8:00p,Charlotte Hornets,115,Denver Nuggets,119,,19235,Ball Arena,
Sun Dec 18 2022,9:30p,Washington Wizards,117,Los Angeles Lakers,119,,18153,Crypto.com Arena,
Mon Dec 19 2022,7:00p,Utah Jazz,99,Cleveland Cavaliers,122,,19432,Rocket Mortgage Fieldhouse,
Mon Dec 19 2022,7:00p,Toronto Raptors,101,Philadelphia 76ers,104,OT,20408,Wells Fargo Center,
Mon Dec 19 2022,7:30p,Orlando Magic,125,Atlanta Hawks,126,,17809,State Farm Arena,
Mon Dec 19 2022,8:00p,San Antonio Spurs,124,Houston Rockets,105,,15928,Toyota Center,
Mon Dec 19 2022,8:00p,Dallas Mavericks,106,Minnesota Timberwolves,116,,16627,Target Center,
Mon Dec 19 2022,8:00p,Milwaukee Bucks,128,New Orleans Pelicans,119,,18271,Smoothie King Center,
Mon Dec 19 2022,8:00p,Portland Trail Blazers,121,Oklahoma City Thunder,123,,14672,Paycom Center,
Mon Dec 19 2022,9:00p,Los Angeles Lakers,104,Phoenix Suns,130,,17071,Footprint Center,
Mon Dec 19 2022,10:00p,Charlotte Hornets,125,Sacramento Kings,119,,17803,Golden 1 Center,
Tue Dec 20 2022,7:00p,Utah Jazz,126,Detroit Pistons,111,,15622,Little Caesars Arena,
Tue Dec 20 2022,7:30p,Chicago Bulls,113,Miami Heat,103,,19969,FTX Arena,
Tue Dec 20 2022,7:30p,Golden State Warriors,94,New York Knicks,132,,19812,Madison Square Garden (IV),
Tue Dec 20 2022,9:00p,Washington Wizards,113,Phoenix Suns,110,,17071,Footprint Center,
Tue Dec 20 2022,10:00p,Memphis Grizzlies,91,Denver Nuggets,105,,19605,Ball Arena,
Wed Dec 21 2022,7:00p,Milwaukee Bucks,106,Cleveland Cavaliers,114,,19432,Rocket Mortgage Fieldhouse,
Wed Dec 21 2022,7:00p,Detroit Pistons,93,Philadelphia 76ers,113,,20615,Wells Fargo Center,
Wed Dec 21 2022,7:30p,Chicago Bulls,110,Atlanta Hawks,108,,17226,State Farm Arena,
Wed Dec 21 2022,7:30p,Indiana Pacers,117,Boston Celtics,112,,19156,TD Garden,
Wed Dec 21 2022,7:30p,Golden State Warriors,113,Brooklyn Nets,143,,18026,Barclays Center,
Wed Dec 21 2022,7:30p,Toronto Raptors,113,New York Knicks,106,,19294,Madison Square Garden (IV),
Wed Dec 21 2022,8:00p,Orlando Magic,116,Houston Rockets,110,,15965,Toyota Center,
Wed Dec 21 2022,8:00p,Dallas Mavericks,104,Minnesota Timberwolves,99,,16164,Target Center,
Wed Dec 21 2022,8:00p,Portland Trail Blazers,98,Oklahoma City Thunder,101,,15107,Paycom Center,
Wed Dec 21 2022,10:00p,Los Angeles Lakers,120,Sacramento Kings,134,,17611,Golden 1 Center,
Wed Dec 21 2022,10:30p,Charlotte Hornets,105,Los Angeles Clippers,126,,19068,Crypto.com Arena,
Thu Dec 22 2022,8:00p,San Antonio Spurs,117,New Orleans Pelicans,126,,16417,Smoothie King Center,
Thu Dec 22 2022,9:00p,Washington Wizards,112,Utah Jazz,120,,18206,Vivint Arena,
Fri Dec 23 2022,7:00p,San Antonio Spurs,113,Orlando Magic,133,,18425,Amway Center,
Fri Dec 23 2022,7:00p,Los Angeles Clippers,114,Philadelphia 76ers,119,,19996,Wells Fargo Center,
Fri Dec 23 2022,7:30p,Detroit Pistons,105,Atlanta Hawks,130,,17028,State Farm Arena,
Fri Dec 23 2022,7:30p,Minnesota Timberwolves,109,Boston Celtics,121,,19156,TD Garden,
Fri Dec 23 2022,7:30p,Milwaukee Bucks,100,Brooklyn Nets,118,,18169,Barclays Center,
Fri Dec 23 2022,7:30p,Toronto Raptors,118,Cleveland Cavaliers,107,,19432,Rocket Mortgage Fieldhouse,
Fri Dec 23 2022,7:30p,Chicago Bulls,118,New York Knicks,117,,19812,Madison Square Garden (IV),
Fri Dec 23 2022,8:00p,Dallas Mavericks,112,Houston Rockets,106,,16989,Toyota Center,
Fri Dec 23 2022,8:00p,Indiana Pacers,111,Miami Heat,108,,19600,FTX Arena,
Fri Dec 23 2022,8:00p,New Orleans Pelicans,128,Oklahoma City Thunder,125,OT,15214,Paycom Center,
Fri Dec 23 2022,9:00p,Portland Trail Blazers,107,Denver Nuggets,120,,19619,Ball Arena,
Fri Dec 23 2022,10:00p,Memphis Grizzlies,125,Phoenix Suns,100,,17071,Footprint Center,
Fri Dec 23 2022,10:00p,Washington Wizards,125,Sacramento Kings,111,,17894,Golden 1 Center,
Fri Dec 23 2022,10:30p,Charlotte Hornets,134,Los Angeles Lakers,130,,18997,Crypto.com Arena,
Sun Dec 25 2022,12:00p,Philadelphia 76ers,119,New York Knicks,112,,19812,Madison Square Garden (IV),
Sun Dec 25 2022,2:30p,Los Angeles Lakers,115,Dallas Mavericks,124,,20441,American Airlines Center,
Sun Dec 25 2022,5:00p,Milwaukee Bucks,118,Boston Celtics,139,,19156,TD Garden,
Sun Dec 25 2022,8:00p,Memphis Grizzlies,109,Golden State Warriors,123,,18064,Chase Center,
Sun Dec 25 2022,10:30p,Phoenix Suns,125,Denver Nuggets,128,OT,19642,Ball Arena,
Mon Dec 26 2022,7:00p,Brooklyn Nets,125,Cleveland Cavaliers,117,,19432,Rocket Mortgage Fieldhouse,
Mon Dec 26 2022,7:00p,Los Angeles Clippers,142,Detroit Pistons,131,OT,20190,Little Caesars Arena,
Mon Dec 26 2022,7:30p,Minnesota Timberwolves,110,Miami Heat,113,,19911,FTX Arena,
Mon Dec 26 2022,8:00p,Houston Rockets,133,Chicago Bulls,118,,21561,United Center,
Mon Dec 26 2022,8:00p,Indiana Pacers,93,New Orleans Pelicans,113,,18636,Smoothie King Center,
Mon Dec 26 2022,8:00p,Utah Jazz,122,San Antonio Spurs,126,,16351,AT&T Center,
Mon Dec 26 2022,10:00p,Charlotte Hornets,113,Portland Trail Blazers,124,,19530,Moda Center,
Tue Dec 27 2022,7:00p,Los Angeles Lakers,129,Orlando Magic,110,,19482,Amway Center,
Tue Dec 27 2022,7:00p,Philadelphia 76ers,111,Washington Wizards,116,,20476,Capital One Arena,
Tue Dec 27 2022,7:30p,Houston Rockets,102,Boston Celtics,126,,19156,TD Garden,
Tue Dec 27 2022,7:30p,Atlanta Hawks,114,Indiana Pacers,129,,16738,Gainbridge Fieldhouse,
Tue Dec 27 2022,7:30p,Los Angeles Clippers,124,Toronto Raptors,113,,19800,Scotiabank Arena,
Tue Dec 27 2022,8:00p,Phoenix Suns,125,Memphis Grizzlies,108,,18239,FedEx Forum,
Tue Dec 27 2022,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,130,,16229,Paycom Center,
Tue Dec 27 2022,8:30p,New York Knicks,121,Dallas Mavericks,126,OT,20377,American Airlines Center,
Tue Dec 27 2022,10:00p,Charlotte Hornets,105,Golden State Warriors,110,,18064,Chase Center,
Tue Dec 27 2022,10:00p,Denver Nuggets,113,Sacramento Kings,106,,17937,Golden 1 Center,
Wed Dec 28 2022,7:00p,Orlando Magic,101,Detroit Pistons,121,,20190,Little Caesars Arena,
Wed Dec 28 2022,7:00p,Phoenix Suns,102,Washington Wizards,127,,20476,Capital One Arena,
